"skill_id","skills","demand_count","avg_salary"
105,"gdpr","1","111175.00"
80,"snowflake","1","111175.00"
5,"r","2","108087.50"
94,"numpy","1","105000.00"
93,"pandas","1","105000.00"
102,"jupyter","1","100500.00"
1,"python","14","99807.14"
59,"elasticsearch","1","98500.00"
8,"go","4","95091.00"
182,"tableau","6","93323.50"
183,"power bi","2","93195.50"
0,"sql","17","92344.29"
185,"looker","2","82094.50"
181,"excel","2","79007.00"
2,"nosql","1","72000.00"
77,"bigquery","1","53014.00"
76,"aws","1","53014.00"
